names	edited_features	longest_gene_isoform
AT2G44630	48	1417
AT3G60370	113	1984
AT1G14530	223	2868
AT4G31140	384	2323
AT5G62990	91	2070
AT4G09240	5	731
AT2G21470	1051	3918
AT1G31600	354	3621
AT1G08513	24	692
AT3G13940	632	2160
AT2G23300	670	3181
AT1G62260	105	2074
AT1G01110	362	2784
AT1G27510	480	3751
AT3G56180	7	1147
AT5G03160	1208	2704
AT1G15820	2757	1418
AT3G13250	4	4729
AT4G30900	128	3065
AT3G59910	843	3121
AT1G30300	267	2482
AT5G18525	595	7086
AT4G05650	1	387
AT5G02502	278	950
AT2G20530	1437	2050
AT3G09800	118	2097
AT2G25840	241	3678
AT1G09537	8	442
AT2G02970	729	3295
AT1G28770	5	71
AT4G08920	864	3617
AT1G64860	277	3234
AT1G69818	9	1161
AT1G03790	68	1854
AT4G28430	49	2233
AT2G29660	482	1847
AT1G33770	187	3678
AT3G29631	1	447
AT1G22860	436	6089
AT1G65410	313	2426
AT1G08120	6	1046
AT1G61720	141	1837
AT1G51690	981	6606
AT5G28715	5	4829
AT1G78070	54	4066
AT1G07740	93	3066
AT5G43860	7	1912
AT3G09490	6	1320
AT1G49990	15	1475
AT1G73820	347	1951
AT1G35160	2618	1805
AT5G50670	247	2359
AT5G26210	2085	2175
AT1G32210	1330	2214
AT5G65720	2034	2047
AT4G13420	1	5469
AT1G14680	64	1213
AT5G20670	5	864
AT1G17232	153	4516
AT3G59000	141	2556
AT1G44900	1766	4513
AT3G01205	94	1170
AT1G48570	375	3849
AT1G12640	303	2627
AT5G18100	161	1698
AT2G32640	155	4079
AT4G34850	14	1625
AT2G04555	48	230
AT4G09335	2	363
AT1G74840	631	1979
AT4G08475	1	277
AT3G57820	1	753
AT3G04030	15	2113
AT1G76140	1256	3917
AT4G33410	770	2638
AT4G31020	470	2046
AT5G19000	656	2726
AT1G75280	280	2060
AT3G27906	355	2673
AT2G39580	662	6927
AT3G06880	202	5918
AT3G21351	2	693
AT1G08730	31	9039
AT1G07697	12	385
AT1G76930	1	1819
AT1G73760	764	2840
AT1G69620	7235	1629
AT3G55210	1	1324
AT5G61910	326	8551
AT1G09130	720	2777
AT5G18610	467	3426
AT1G08880	1581	1206
AT4G20360	3982	2557
AT2G34090	156	3249
AT3G47980	1	2786
AT3G54200	389	1010
AT3G63250	1182	3042
AT1G11545	25	1896
AT2G06000	431	2620
AT1G05273	17	193
AT5G41790	250	7094
AT5G10870	175	1971
AT5G65600	1	2632
AT1G53590	496	4577
AT2G36160	4966	1641
AT2G04890	173	2243
AT1G07290	18	2980
AT5G15510	485	2891
AT3G06010	951	5389
AT1G04830	206	3445
AT5G58350	90	3012
AT3G07160	3618	15054
AT5G63480	251	1640
AT4G17560	662	1959
AT1G17147	1	950
AT1G72275	146	1777
AT3G59110	546	3564
AT4G00860	1158	1282
AT4G15735	3	542
AT2G07716	2	883
AT3G13130	6	847
AT3G59300	477	4385
AT1G60510	194	2829
AT2G37880	132	1038
AT5G48720	375	3134
AT3G08580	16225	2460
AT1G73270	4	3496
AT1G15940	2882	5046
AT3G27230	735	1912
AT1G11670	92	3586
AT1G48470	3	2390
AT2G20650	192	3939
AT1G49380	193	2889
AT3G14520	381	2681
AT3G05620	18	2330
AT1G05020	3	2608
AT5G49820	431	3231
AT2G30570	2394	1283
AT5G15610	1238	2787
AT1G01710	419	3496
AT3G20740	468	3643
AT1G76065	68	1370
AT2G41990	1933	1770
AT5G05830	184	1416
AT4G30080	288	3289
AT2G40350	29	1369
AT3G02460	238	3289
AT4G27480	60	2361
AT2G30870	722	1386
AT2G41370	46	2882
AT1G55830	163	2779
AT1G78440	5	1539
AT2G08220	1	1561
AT2G36355	76	1108
AT5G58610	41	5315
AT1G56470	2	509
AT3G02545	10	222
AT4G18195	1	1657
AT1G80440	69	1724
AT3G15890	156	2027
AT4G09200	1678	2636
AT1G04050	375	4266
AT5G63450	3	1904
AT3G57062	181	1231
AT2G36200	1069	5588
AT5G66595	2	2303
AT4G31570	1042	10094
AT2G01860	85	1863
AT5G41020	730	1914
AT2G19970	12	925
AT2G42320	182	3466
AT1G20693	4990	2148
AT1G56430	2	1442
AT1G51035	1	476
AT2G45010	359	2007
AT5G23010	39	3932
AT1G23790	307	2134
AT5G20500	1303	1431
AT3G03700	91	2055
AT2G19120	144	5873
AT5G65930	1130	6715
AT3G01505	141	234
AT1G43895	6	1076
AT1G24290	140	1778
AT3G16730	309	3846
AT2G20000	602	5341
AT1G16350	1407	2342
AT4G16980	180	1156
AT3G45210	51	1485
AT1G59790	1	2071
AT3G48450	4	1173
AT2G47770	1	1043
AT5G50240	34	1341
AT2G33180	45	1451
AT2G36630	62	2839
AT1G66660	147	1550
AT1G67855	6	620
AT2G40130	4	3570
AT1G62430	605	3629
AT1G60440	367	2842
AT5G15640	320	2828
AT5G00905	56	200
AT2G39030	1	1095
AT5G57640	22	1185
AT5G19840	89	4039
AT3G60176	1	1009
AT5G28056	1	5469
AT5G37055	62	1071
AT4G14800	1105	2396
AT5G36370	1441	356
AT1G72310	503	1880
AT3G10540	394	3232
AT3G54320	236	4206
AT1G07847	25	198
AT3G27470	185	4515
AT1G08190	1454	6028
AT5G48630	156	1842
AT3G60975	1	1309
AT1G17370	1337	3601
AT2G07733	17	1739
AT4G11700	1	551
AT1G07987	30	365
AT4G31290	1540	2709
AT5G59260	3	2296
AT4G33740	509	2332
AT2G21910	5	1789
AT5G53900	144	2291
AT2G32010	140	4480
AT1G20200	1945	3345
AT2G01240	153	841
AT5G44520	120	2267
AT1G10700	107	2440
AT1G65250	79	1632
AT1G70505	49	2550
AT2G43060	20	1203
AT2G09205	2	528
AT3G07900	8	2414
AT2G03060	90	3088
AT3G25855	9	888
AT1G49730	192	3175
AT3G23870	83	2715
AT5G28405	3	4112
AT3G58170	392	1725
AT2G36990	431	2914
AT5G20635	86	3006
AT1G45332	889	4939
AT5G15150	180	2277
AT3G27730	37	7533
AT3G21295	284	3705
AT2G16245	103	915
AT4G15200	2	3226
AT2G30520	125	3019
AT5G54980	122	1301
AT3G13190	301	1869
AT5G45480	297	2986
AT4G25800	133	3147
AT5G16350	9	2498
AT3G04090	792	2260
AT3G22740	9	3088
AT4G09080	33	2634
AT2G26280	295	3671
AT3G19000	369	1707
AT5G50390	134	2612
AT5G27830	269	1705
AT1G30940	3	1435
AT3G25220	1614	2063
AT2G28400	54	1189
AT3G14660	200	2830
AT1G15910	1335	3929
AT5G02420	13	819
AT1G54040	40	3234
AT3G62450	239	1051
AT1G05540	565	1656
AT3G47700	217	3106
AT5G52470	5222	2672
AT4G16900	153	4743
AT5G58230	1262	2233
AT5G12450	10	239
AT4G33945	519	3041
AT5G23970	12	1591
AT5G60360	897	2822
AT5G41330	347	2677
AT4G22050	2752	1829
AT5G66020	9	3532
AT1G21510	9	1433
AT1G26800	101	1370
AT3G07805	35	202
AT4G04330	48	2064
AT2G20600	19	234
AT4G33150	317	6459
AT5G14240	529	1780
AT5G41160	18	1317
AT2G47030	23	2350
AT1G79620	58	4930
AT1G04183	72	2006
AT1G29700	110	2496
AT1G09270	1094	3891
AT5G61070	132	3292
AT3G02765	320	337
AT3G62600	1950	2870
AT5G13710	915	3769
AT1G49430	1326	4963
AT3G50910	361	2974
AT5G14830	95	3333
AT1G28327	2	1517
AT3G60640	192	1797
AT5G02520	256	2963
AT4G04410	10	4248
AT2G40920	186	1823
AT5G47580	209	2611
AT1G17960	49	2941
AT3G04310	105	1609
AT3G61970	356	1942
AT1G49475	11	1216
AT2G17030	277	1914
AT1G65240	186	2656
AT5G60030	502	1158
AT1G62970	765	2916
AT3G58000	48	880
AT1G70220	9	1974
AT2G45685	340	1679
AT2G33170	230	4748
AT1G10640	2302	2853
AT2G12190	27	1755
AT1G20130	1	2480
AT1G03130	530	955
AT5G48480	16511	2301
AT5G58330	1141	2673
AT3G12400	413	2091
AT4G29285	7	764
AT5G28280	1	750
AT3G02880	917	2819
AT1G47565	42	2411
AT1G16520	682	2531
AT4G07070	3	431
AT3G54030	315	2839
AT1G26300	432	3997
AT1G80170	147	2681
AT2G36724	2	413
AT4G37580	88	2284
AT1G08970	885	1851
AT1G06960	445	2020
AT1G30870	1	1605
AT4G31100	40	3121
AT3G09725	21	288
AT5G09835	5	313
AT1G61440	51	3977
AT1G32172	27	2041
AT1G26450	244	1614
AT1G60220	468	4082
AT5G34885	135	710
AT5G52150	23	1315
AT4G38970	904	2512
AT3G04181	9	704
AT3G60150	66	1540
AT3G03760	2	1277
AT1G48405	6	969
AT2G07265	29	380
AT5G14140	215	2444
AT3G54870	88	6186
AT5G11200	3973	3865
AT3G08475	31	366
AT5G03960	2	2006
AT3G06510	723	3857
AT3G52600	13	2499
AT5G18700	1173	5884
AT5G44740	106	4163
AT5G04030	1	230
AT5G40640	620	3382
AT1G76610	5	1003
AT2G41451	37	2493
AT4G18823	27	371
AT3G04120	5819	2748
AT1G66530	931	3499
AT2G20210	120	3802
AT5G42090	1753	2559
AT2G03955	26	533
AT5G45140	629	11048
AT1G04967	1	381
AT3G25100	308	2320
AT5G09850	511	3238
AT1G05410	307	2423
AT1G06637	1	207
AT1G75540	22	1914
AT5G46070	2126	5503
AT1G52780	525	3572
AT1G54580	2174	1800
AT4G29050	1	2365
AT2G20660	101	305
AT3G52480	17	1261
AT5G54600	762	1767
AT5G19630	143	2084
AT2G14840	79	1180
AT4G21710	1592	7001
AT4G17430	485	2124
AT2G02148	154	2539
AT2G40750	21	2109
AT4G27595	548	5373
AT3G46210	475	2285
AT4G00883	39	515
AT5G26570	1495	6253
AT2G39110	9	2238
AT1G22620	950	8823
AT3G58730	1177	1865
AT5G42890	1466	1923
AT1G22520	283	1572
AT1G75660	1639	6984
AT1G51680	437	2991
AT3G09745	55	2340
AT3G01530	210	1685
AT1G50670	313	2207
AT5G46370	1	2374
AT3G52800	355	1454
AT1G54740	4	1217
AT3G26110	3	681
AT1G23110	5	1777
AT5G22890	9	1578
AT1G67860	52	605
AT3G62660	299	2239
AT5G66290	194	2281
AT4G14910	259	2227
AT1G49210	20	875
AT1G26190	312	4045
AT4G19390	41	2678
AT1G54080	1954	3551
AT4G22830	58	1463
AT5G15380	22	3577
AT4G22920	108	2180
AT4G35370	2	2406
AT5G08270	115	1985
AT1G28700	13	1530
AT2G37540	34	2493
AT1G04940	11	1648
AT3G19870	423	4193
AT5G16250	1966	899
AT5G13810	357	1871
AT1G11590	11	2097
AT4G30690	214	1872
AT2G21040	21	1153
AT3G01290	173	1909
AT4G17070	214	2945
AT2G08445	1	420
AT1G26830	1057	3064
AT4G29440	239	4206
AT1G13940	380	4373
AT1G28620	1	1713
AT3G54340	458	2174
AT2G21940	160	2688
AT5G02695	26	790
AT1G30455	17	1053
AT1G75220	630	4108
AT2G23430	28	1500
AT1G62500	4484	1579
AT5G18800	673	1664
AT1G75760	386	2103
AT1G53300	1214	3490
AT5G67265	1	620
AT2G43900	220	5501
AT2G17450	183	1458
AT4G08170	334	3972
AT5G52060	156	2384
AT3G51270	881	3457
AT4G04135	175	265
AT5G61800	40	1628
AT4G22290	402	3097
AT5G51050	299	3097
AT5G37370	776	4058
AT5G57150	34	2767
AT1G16700	735	2419
AT5G24650	997	2080
AT5G60580	78	3409
AT1G56130	54	6267
AT5G66000	97	1048
AT2G04755	1451	1788
AT1G18190	425	3650
AT4G25470	4	985
AT3G50240	643	5660
AT2G15090	782	1952
AT5G07030	3554	2644
AT4G23260	1	2664
AT1G03475	806	2455
AT1G14687	44	971
AT1G66130	63	2143
AT1G09673	12	1348
AT1G02305	1075	2476
AT1G52630	182	2313
AT2G30720	237	2387
AT3G21200	247	1985
AT3G01625	5	224
AT1G14520	194	2177
AT3G14730	117	2168
AT1G79390	300	1105
AT2G07683	8	1484
AT1G36730	1370	2621
AT1G60360	12	1229
AT4G40065	3	1082
AT1G23700	1	3036
AT4G34790	24	791
AT3G04470	1726	3064
AT4G38580	525	1758
AT1G50260	183	4364
AT5G20030	62	1975
AT1G44130	507	1928
AT1G05317	17	578
AT3G55440	4183	3157
AT5G49830	974	4670
AT5G47240	214	2121
AT3G01380	796	6000
AT5G42000	360	1884
AT2G16780	1247	2312
AT3G06330	251	2828
AT3G18610	27	3893
AT1G16445	39	1670
AT2G20020	324	2922
AT5G14940	3	2949
AT5G41685	1210	574
AT2G31770	2	1971
AT3G53360	62	2959
AT1G67265	197	672
AT2G27990	23	3398
AT5G54630	552	2192
AT4G15230	25	7759
AT4G13050	337	2229
AT5G51670	59	2151
AT1G65010	2186	5204
AT2G05140	34	968
AT5G63540	94	3688
AT2G07658	8	1614
AT2G21630	130	3617
AT5G45430	1186	4600
AT5G20300	449	3682
AT5G39350	196	2087
AT5G17170	297	2148
AT2G37975	154	1904
AT1G56120	38	6444
AT3G02515	23	885
AT3G22550	88	2185
AT5G27250	6	1341
AT1G31940	80	1425
AT4G00660	1173	4485
AT3G61010	317	3983
AT3G63150	473	4162
AT5G54780	170	3822
AT1G22230	7	1388
AT1G80410	1811	7602
AT3G54740	542	2511
AT3G62440	2	1622
AT5G52540	597	2352
AT3G31161	5	223
AT3G09570	971	1898
AT5G18290	599	3298
AT4G04225	319	424
AT1G79280	2636	14008
AT3G48760	468	2658
AT1G44110	509	2587
AT2G18290	135	2023
AT2G34640	507	2962
AT3G24770	205	1170
AT1G32080	199	2654
AT1G01150	3	2227
AT3G26670	475	3225
AT5G44000	123	1995
AT3G15030	36	2471
AT4G28820	86	2897
AT1G17440	800	3950
AT2G02765	133	2015
AT2G35240	861	1463
AT2G28605	103	1035
AT5G06845	4	434
AT1G55690	1102	4837
AT3G27865	4	91
AT4G28980	543	2516
AT1G04077	16	1056
AT1G61730	1231	1544
AT3G14800	490	3114
AT1G22100	11	2205
AT4G30370	26	1059
AT1G28180	12	1538
AT5G61920	90	1729
AT5G18210	63	1122
AT3G19950	419	2601
AT5G64170	536	4357
AT5G23510	42	2429
AT3G59820	1329	4245
AT5G61970	887	4770
AT3G57870	2196	1902
AT5G63130	16	1764
AT4G20440	1725	1815
AT1G79910	15	2618
AT1G30845	93	1079
AT3G25014	5	161
AT1G28715	40	7115
AT2G01090	249	1721
AT1G04960	240	3148
AT2G08205	80	182
AT4G22780	363	3081
AT1G48010	7	1169
AT1G72680	225	1915
AT5G13010	1510	6605
AT1G14190	10	1785
AT5G26030	1449	2727
AT5G36360	1768	356
AT1G07360	982	2606
AT1G27450	3032	2332
AT3G42658	1	894
AT3G63490	1127	2152
AT1G64260	103	2737
AT1G26100	152	1539
AT1G34418	812	599
AT3G03100	1190	2316
AT4G38040	565	2104
AT2G06210	1150	7784
AT3G46050	1	1112
AT5G36130	5	834
AT3G22520	1729	3928
AT5G17680	30	4272
AT1G28420	898	8259
AT5G57630	59	2743
AT3G48298	5	125
AT5G43080	178	2072
AT3G05320	5	2506
AT3G07010	452	4194
AT4G17340	7	1532
AT4G22870	1	917
AT1G18160	623	5450
AT3G10250	369	3035
AT4G36400	204	3733
AT2G32870	5	2252
AT1G35430	29	822
AT3G02750	506	3355
AT5G19540	328	4247
AT5G53200	65	1629
AT5G05140	200	3432
AT2G17560	2632	1622
AT4G16146	184	2511
AT3G29797	105	537
AT3G06650	2609	4439
AT2G17570	74	2349
AT3G52525	35	1236
AT1G63860	51	4597
AT3G07465	7	263
AT4G19460	509	1874
AT2G07699	108	1691
AT5G21140	184	2600
AT1G51460	2557	4613
AT5G25960	1	2100
AT3G56790	1	678
AT2G37080	1338	3916
AT4G19660	338	2545
AT2G42150	20	2374
AT3G44740	61	2097
AT1G15880	382	1961
AT2G02380	21	1834
AT1G70820	54	2844
AT3G22250	107	2476
AT5G18202	2	372
AT1G28390	41	2115
AT4G31890	51	3292
AT1G35112	31	890
AT3G13930	1569	4702
AT5G03210	5	876
AT3G53540	554	4398
AT3G05335	15	92
AT1G13755	21	681
AT1G61360	73	4311
AT5G08750	156	2752
AT5G42765	214	1443
AT1G06173	5	523
AT1G73965	3	841
AT3G13870	1860	5985
AT5G09065	1	802
AT3G05610	7	2647
AT4G08460	794	3818
AT3G51030	88	1191
AT1G76911	3	740
AT3G22275	193	1003
AT1G67320	524	3822
AT3G26140	3684	3728
AT2G20490	719	1248
AT4G14120	418	2277
AT1G44740	84	1938
AT3G59200	86	2251
AT3G07040	19	3700
AT1G10830	131	2068
AT1G67040	615	3599
AT4G38470	651	4861
AT2G28110	51	2138
AT5G07870	64	1939
AT1G45688	823	1952
AT5G42280	391	2857
AT1G66260	1351	3268
AT4G01860	553	7055
AT4G26550	272	2006
AT5G02245	6	96
AT5G49880	612	5973
AT3G19900	128	2705
AT1G08727	60	477
AT1G11150	20	2653
AT3G09260	6	3304
AT3G08845	1	806
AT2G45420	1	2381
AT4G01680	60	1633
AT5G65225	18	5294
AT5G43516	14	369
AT1G52030	35152	3217
AT1G67930	787	3405
AT5G42740	932	5512
AT3G50360	1141	1624
AT1G18415	183	2847
AT2G18510	839	2659
AT3G18780	1318	2494
AT5G17800	393	2218
AT1G54445	1	821
AT3G62410	35	636
AT3G03900	66	2260
AT2G43320	254	3377
AT1G69120	2	4055
AT2G36020	5	2468
AT3G52590	8605	1553
AT1G06753	9	416
AT5G52180	453	1570
AT5G20900	1444	1835
AT2G09335	14	598
AT3G43350	9	4735
AT1G12805	7	559
AT1G19420	12	2734
AT2G18860	88	2064
AT4G08785	4	614
AT4G01250	89	1719
AT5G60860	61	1207
AT1G13180	252	3545
AT5G55280	870	2049
AT1G52415	30	735
AT5G10460	339	2198
AT1G68872	148	2466
AT2G38630	267	2773
AT5G65340	1	1196
AT1G64620	225	2502
AT2G39420	42	2973
AT5G48690	9	2035
AT5G08025	4	44
AT1G20570	53	4706
AT3G47390	268	5526
AT2G27000	27	1853
AT1G53040	429	3250
AT3G06870	91	1113
AT1G43670	524	3202
AT5G50440	34	1570
AT4G25020	420	1643
AT4G29590	299	2626
AT5G40710	275	2077
AT5G46290	1965	2783
AT1G56580	1609	1122
AT1G69020	126	3325
AT5G59980	175	2843
AT2G23600	25	2020
AT1G61030	276	4555
AT2G28230	552	1432
AT3G59980	477	1397
AT5G24750	148	4107
AT5G14810	76	2150
AT2G25190	111	1874
AT3G23080	166	2042
AT5G39580	1	2076
AT5G48780	17	2362
AT1G32440	200	3218
AT5G22480	590	5362
AT3G57270	35	1952
AT2G34585	271	833
AT2G12290	14	401
AT5G03620	13	3248
AT2G21740	125	401
AT4G02550	142	1858
AT4G16910	15	2084
AT2G38230	250	1282
AT2G37678	50	1375
AT2G35100	261	2134
AT1G75010	181	5285
AT1G76670	1110	2439
AT2G26355	64	827
AT2G14110	178	1345
AT1G52800	7	1608
AT5G06440	54	3050
AT2G39850	45	3842
AT5G41220	317	2838
AT2G46455	26	1626
AT2G36810	520	14321
AT3G28899	1	331
AT5G67420	272	2658
AT5G38710	37	3143
AT4G08290	27	2339
AT2G21600	975	2163
AT4G25450	178	4395
AT5G13190	173	2390
AT3G20960	21	1949
AT2G33420	12	3947
AT5G21900	98	2361
AT1G48410	8114	6963
AT5G17080	1	1355
AT2G22490	85	2370
AT4G09955	10	381
AT5G05085	59	1355
AT4G18740	29	1281
AT3G58690	214	2272
AT1G78510	98	2422
AT1G44750	928	3549
AT5G51550	3042	1532
AT5G55910	989	2601
AT1G09700	1014	2704
AT2G05170	864	4144
AT5G66860	731	1716
AT5G07515	5	235
AT1G54330	27	1445
AT1G07300	56	1482
AT2G32260	671	3184
AT1G61290	3	1486
AT5G22580	589	1036
AT4G07843	2	2087
AT1G02816	132	1601
AT1G13000	205	3538
AT4G18580	266	1390
AT3G18710	110	1964
AT1G69450	22	3567
AT4G09750	181	2191
AT1G51560	276	2432
AT1G06710	231	4684
AT4G38850	2	772
AT5G63490	203	3872
AT5G22765	2	481
AT1G10370	28	1475
AT2G04955	48	148
AT4G21210	126	1980
AT1G67700	353	1978
AT1G75460	29	2066
AT1G78860	93	1688
AT3G25010	26	2833
AT3G06125	243	1713
AT5G09620	1213	2312
AT3G34299	1	1628
AT5G54930	326	1835
AT4G28000	3	4189
AT1G20700	3	1498
AT1G76530	11	2302
AT3G13275	20	774
AT2G45135	12	1750
AT1G15510	233	2647
AT3G03415	2	92
AT5G52530	1502	4137
AT1G73990	453	4668
AT1G14870	53	1387
AT5G24350	864	9790
AT5G57800	545	3933
AT2G28310	497	2765
AT5G63680	809	2698
AT2G17705	137	857
AT2G41110	706	1248
AT4G07975	9	196
AT3G51490	23	2912
AT2G37590	197	1719
AT1G77130	336	2481
AT5G45470	554	3057
AT1G13805	3	68
AT5G07970	1130	5087
AT1G50280	36	2743
AT1G18410	19	6057
AT3G10930	10	851
AT5G03315	1	186
AT5G42092	1725	1890
AT2G39805	270	2757
AT5G01345	10	1107
AT1G06787	28	296
AT3G02680	189	3254
AT1G75080	941	2571
AT3G51130	627	3564
AT4G02510	3697	7218
AT1G32100	30	1856
AT2G46230	874	1760
AT3G05250	69	1951
AT1G06337	2	334
AT5G22555	1	1153
AT1G64270	172	2213
AT3G20460	21	4759
AT1G06010	318	1653
AT1G04650	182	4396
AT3G61118	2	846
AT1G65050	111	1794
AT2G38510	1	1550
AT5G63620	665	2422
AT4G18760	885	1781
AT1G17300	3	1148
AT5G46090	49	644
AT1G53801	152	962
AT5G22785	398	201
AT5G03520	909	2140
AT4G29430	497	1318
AT3G15380	678	3388
AT3G51830	202	5159
AT1G80950	457	3012
AT1G53290	265	2611
AT3G57680	77	3159
AT1G07910	355	9208
AT5G56880	233	945
AT1G52280	340	1771
AT3G18910	198	1492
AT4G23950	260	2500
AT5G45040	132	1517
AT4G24680	1622	7595
AT1G73090	169	2614
AT1G18060	80	1759
AT4G18140	233	3151
AT1G32900	298	3476
AT4G23990	26	4411
AT4G02390	218	4420
AT2G06560	1	5220
AT4G35165	408	760
AT3G12530	205	2260
AT5G53190	170	2186
AT4G10400	340	2020
AT5G35603	1	1161
AT3G23100	164	5718
AT3G57630	229	4691
AT3G20630	1402	5799
AT2G22720	657	3464
AT3G49930	17	1080
AT2G44480	4	3683
AT3G07280	335	4169
AT5G57210	249	3220
AT1G43170	19588	2392
AT2G38370	421	2938
AT1G76970	199	3008
AT4G26750	540	2906
AT4G33860	4	2457
AT5G47660	288	2146
AT1G08037	189	781
AT2G24650	337	4509
AT1G33480	222	2102
AT1G35612	43	1050
AT4G31720	585	2635
AT1G05470	273	4638
AT2G07777	39	2149
AT4G00340	598	3127
AT1G69572	133	1240
AT1G58848	1246	5362
AT1G79020	144	3549
AT4G00895	410	855
AT2G46070	3	2130
AT5G54550	1	1201
AT1G75190	105	1147
AT5G46580	534	2201
AT1G25211	4445	1621
AT2G38490	2	1295
AT3G06710	27	2012
AT1G80165	2	215
AT5G47750	1758	2707
AT5G40960	54	798
AT1G09647	1	207
AT4G23515	1	1605
AT5G58005	354	1098
AT4G31780	335	3173
AT5G51660	1283	9494
AT1G06060	226	1920
AT2G43340	649	1036
AT3G06070	21	1220
AT2G08350	93	519
AT2G38580	410	4087
AT1G17870	54	2283
AT4G02100	557	2528
AT1G67020	3	2277
AT4G02000	9	1301
AT1G26218	53	1215
AT5G57090	1	4712
AT5G63780	305	2766
AT4G27597	1	2195
AT5G49650	1116	3882
AT4G16190	641	2387
AT3G27630	10	675
AT3G12220	3	2812
AT1G61430	101	4077
AT3G04695	41	252
AT3G30720	1	886
AT1G80970	37	1889
AT4G37925	30	1086
AT4G39910	599	2861
AT1G12580	470	3082
AT4G38932	375	770
AT4G38300	72	935
AT1G78310	86	1701
AT1G55850	34	3042
AT2G35570	1	2036
AT1G59265	59	4427
